,logFC,logCPM,F,PValue,FDR
RAB22A,-1.29013416534665,4.49984584013465,55.9444834252127,1.22965560065511e-07,7.52225664650636e-07
SDCBP2,1.58611066998809,1.89911985420994,55.9397080603667,1.23053286059231e-07,7.52406232545703e-07
HSD17B7,-0.735092205927221,5.52033123842793,55.9306103786686,1.23220603521109e-07,7.53073059628301e-07
SMTNL2,2.52292205598419,1.37494972608219,55.9239066281645,1.23344051818916e-07,7.53471273067728e-07
NUDT19,-1.55071265195691,4.30592144584671,55.9201676628923,1.23412962517414e-07,7.53536114076567e-07
FRS2,-1.02391792795738,5.65431073321235,55.8533404139036,1.24651697238528e-07,7.60722156027181e-07
RER1,-0.534897210715042,6.65632889339955,55.8503423904919,1.24707585379978e-07,7.60722156027181e-07
PFKP,1.34953313183832,6.88006703489648,55.7975733138504,1.25695758100611e-07,7.6638838170212e-07
SYNE4,-0.625055675765394,5.07618141414393,55.7483317308032,1.26625549741075e-07,7.71693472868051e-07
IGF1R,-0.775101156377998,7.59849649963846,55.7037205237068,1.27474362697107e-07,7.76500288512161e-07
LEAP2,2.71947956105631,0.577678667425055,55.656379562847,1.28381879492933e-07,7.81659997327206e-07
UQCRFS1,0.654059944548319,7.11486029947383,55.6381875127168,1.28732482207656e-07,7.83375701711405e-07
ACTR1A,-0.503311597743954,7.86588917462315,55.6354732942509,1.28784880561406e-07,7.83375701711405e-07
KIF2C,1.61222480110831,6.80719110935754,55.6260363967173,1.28967241538494e-07,7.8411597560046e-07
TLCD4,-2.31012750734469,3.87249202950824,55.6169954572707,1.29142214062529e-07,7.84810653019392e-07
MFSD13A,1.65989795138413,3.60706520461888,55.5925128118708,1.29617331488534e-07,7.87327832152629e-07
H3-3A,0.465178992643896,7.73476138009209,55.5888621566564,1.29688339716693e-07,7.87389140055411e-07
RAB10,-0.458883935885203,7.7488717365935,55.5599390690936,1.30252413405063e-07,7.90442580128566e-07
SIRT5,0.746236759610761,4.56223798953663,55.4844326128296,1.31737581447812e-07,7.9908023359663e-07
